GenericNNet3 results
... Connectivity = 
[[0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]
 [0. 0. 0. 0.]]
Weights({i},{j}).shape = {self.weights(i,j).shape}
Weights({i},{j}).shape = {self.weights(i,j).shape}
Weights({i},{j}).shape = {self.weights(i,j).shape}
--> training_data generated (1000, 2)
Epoch 100/25000: Average Cost = 0.9635414559022535
Epoch 200/25000: Average Cost = 0.26575931270015374
Epoch 300/25000: Average Cost = 0.22613078887825555
Epoch 400/25000: Average Cost = 0.20260825156256945
Epoch 500/25000: Average Cost = 0.18682605987668208
Epoch 600/25000: Average Cost = 0.174602913433238
Epoch 700/25000: Average Cost = 0.16540366717815969
Epoch 800/25000: Average Cost = 0.1564774334165489
Epoch 900/25000: Average Cost = 0.14477458326854106
Epoch 1000/25000: Average Cost = 0.12997494106038399
Epoch 1100/25000: Average Cost = 0.12492401667257912
Epoch 1200/25000: Average Cost = 0.12106058816275146
Epoch 1300/25000: Average Cost = 0.1179431826637049
Epoch 1400/25000: Average Cost = 0.11549142137097525
Epoch 1500/25000: Average Cost = 0.11332377315564711
Epoch 1600/25000: Average Cost = 0.11130078385080117
Epoch 1700/25000: Average Cost = 0.10942145298747298
Epoch 1800/25000: Average Cost = 0.10767651341079855
Epoch 1900/25000: Average Cost = 0.10605082541017495
Epoch 2000/25000: Average Cost = 0.10452005218450108
Epoch 2100/25000: Average Cost = 0.10317196707692221
Epoch 2200/25000: Average Cost = 0.10287576985863564
Epoch 2300/25000: Average Cost = 0.10105225838337048
Epoch 2400/25000: Average Cost = 0.10026149298462236
Epoch 2500/25000: Average Cost = 0.09982987069737113
Epoch 2600/25000: Average Cost = 0.09917062512279641
Epoch 2700/25000: Average Cost = 0.09781944140484117
Epoch 2800/25000: Average Cost = 0.09648217962033473
Epoch 2900/25000: Average Cost = 0.09538054714927194
Epoch 3000/25000: Average Cost = 0.09436449741634854
Epoch 3100/25000: Average Cost = 0.09344118042165979
Epoch 3200/25000: Average Cost = 0.09260695569735371
Epoch 3300/25000: Average Cost = 0.09185980700663902
Epoch 3400/25000: Average Cost = 0.09120299581534475
Epoch 3500/25000: Average Cost = 0.09064068353935878
Epoch 3600/25000: Average Cost = 0.09017428193927858
Epoch 3700/25000: Average Cost = 0.08980279238114021
Epoch 3800/25000: Average Cost = 0.0895293368998053
Epoch 3900/25000: Average Cost = 0.08937676128195372
Epoch 4000/25000: Average Cost = 0.08943109482315598
Epoch 4100/25000: Average Cost = 0.09006509616557139
Epoch 4200/25000: Average Cost = 0.09169042572787543
Epoch 4300/25000: Average Cost = 0.0919370933926352
Epoch 4400/25000: Average Cost = 0.09203924189745283
Epoch 4500/25000: Average Cost = 0.09178294804375951
Epoch 4600/25000: Average Cost = 0.09073354481292607
Epoch 4700/25000: Average Cost = 0.08902872327865738
Epoch 4800/25000: Average Cost = 0.0872647977164186
Epoch 4900/25000: Average Cost = 0.08547119141461264
Epoch 5000/25000: Average Cost = 0.08354575995861495
Epoch 5100/25000: Average Cost = 0.08216524363169081
Epoch 5200/25000: Average Cost = 0.08139252127282717
Epoch 5300/25000: Average Cost = 0.08060930857895227
